label	ID1	ID2
+1	O94913	Q8CKB6
+1	Q14494	Q7CJC9
+1	Q9NY15	Q7CGR9
+1	Q13422	Q9Z375
+1	Q9Y2U9	Q7CKY2
+1	Q7Z7A1	Q8D0H5
+1	P46939	Q7CG90
+1	Q06830	P68587
+1	Q92766	Q7CGI0
+1	P16083	Q8ZB88
+1	Q15020	Q8ZC08
+1	Q96I30	Q7CFS1
+1	P35869	Q8ZD12
+1	Q52LW3	Q7CGP1
+1	Q8WYR1	Q7CIL5
+1	Q6AHZ1	Q8D1R0
+1	Q9UQC1	Q7CJQ0
+1	Q10587	Q9ZC81
+1	Q99700	Q8D1J6
+1	Q9H2K8	Q7CGR6
+1	O15031	Q8ZEL7
+1	Q9P0Q9	Q8D134
+1	Q9NYF8	Q8ZBC2
+1	Q7Z4H7	Q7CG16
+1	P27797	O68779
+1	Q5VV17	Q8ZGJ9
+1	P46531	Q7CFY4
+1	Q16621	Q7CFV4
+1	Q99614	Q7CJ53
+1	P17931	Q7CKB7
+1	O43464	Q7CJK4
+1	Q99550	Q8ZGJ1
+1	Q6P2H3	Q7CIL3
+1	Q8IZ03	Q7CIY7
+1	Q8ND24	Q7CGR9
+1	P04275	Q7CK71
+1	Q9Y608	P58582
+1	P32455	Q8D0R8
+1	Q8IZT9	Q8CZZ7
+1	Q9BYB0	Q74YG7
+1	P42226	Q7CKK4
+1	Q5T2W1	Q7CFV8
+1	P50613	Q7CJU3
+1	P17931	Q7CHE5
+1	Q15831	Q7CG03
+1	Q8TD26	Q7CL85
+1	Q8NDV7	P68587
+1	P04233	Q7CJM9
+1	Q96BP3	P17778
+1	Q9BUD9	Q8ZIG9
+1	Q9HBL8	Q8ZHG0
+1	Q53EP0	Q7CJG3
+1	Q5VYK3	Q8CZW0
+1	P04233	Q7CIT9
+1	P23528	Q7CHX9
+1	Q641Q2	Q8CZU9
+1	P09871	Q7CL89
+1	O43390	Q8D068
+1	Q9Y6K1	O68740
+1	Q8TF05	Q7CG91
+1	O00408	Q7ARD3
+1	O00562	Q8ZGW9
+1	Q9BXM7	Q8ZDX8
+1	P53992	Q7CHV7
+1	Q96I25	Q8ZHG8
+1	Q6ZV49	Q7CGC5
+1	Q9NRY6	Q7CIP7
+1	Q9NYI0	Q8CKH6
+1	Q9UKJ1	Q7CJQ8
+1	Q99767	P69974
+1	Q7Z3K3	Q7CJF7
+1	Q9BQD3	Q7CHJ5
+1	Q92540	Q7CKK6
+1	P09871	Q7CKM5
+1	P29401	Q8CK83
+1	Q00341	Q7CIG0
+1	Q9GZM7	P58497
+1	Q15459	Q7CL85
+1	P19838	Q8CZN4
+1	P19838	Q7CHC7
+1	O94979	Q7CGK0
+1	Q8IUN9	Q7CHC7
+1	Q14094	P40127
+1	Q969X0	Q74Q56
+1	Q9NWB7	Q7CHZ9
+1	O00182	Q8ZGW9
+1	Q9H9E3	Q9R3G9
+1	P31943	Q8CLC4
+1	Q15027	Q8ZA76
+1	Q8WVT3	Q7CJT3
+1	O95793	Q8ZD91
+1	Q7L1Q6	Q7CHC3
+1	P46379	Q8ZIC5
+1	Q9UIL8	Q8CLA8
+1	O95777	Q7CH18
+1	P08047	Q8CL86
+1	Q01453	Q8D1E7
+1	Q8IYZ2	Q8ZEL9
+1	Q5SXM2	Q7CGI0
+1	Q9UQC1	Q7CHJ5
+1	Q96R05	Q8CZY2
+1	P00747	Q7CGB6
+1	Q8TAD8	Q7CIF0
+1	Q86XS8	Q8CZU9
+1	O60711	Q8D0I3
+1	Q9BYB0	Q8CLS0
+1	P67809	Q7CKF7
+1	P17031	Q8ZIH1
+1	Q07157	Q7CHS3
+1	Q9ULJ1	Q8D0Z4
+1	P15336	Q7CK53
+1	O00165	Q8ZHF4
+1	P33316	Q7CGH6
+1	P42892	Q7CFS1
+1	Q92802	Q7CH24
+1	O00165	Q7CHC7
+1	P07737	Q7CIS3
+1	Q9GZM7	Q8Z9U7
+1	Q6P531	Q7CHV4
+1	Q14677	Q7CKH8
+1	Q4G0J3	Q8ZBN6
+1	O95905	Q7CG16
+1	Q86YT9	P68587
+1	P06748	Q8D1N0
+1	Q16760	Q74YG8
+1	O75592	Q8ZEL2
+1	O15438	Q7CJU6
+1	Q6ZNJ1	Q8ZA76
+1	P09917	Q8D078
+1	Q16698	Q8ZC49
+1	O43660	Q0WBF9
+1	Q12906	Q7CGS9
+1	P15822	Q8D0G2
+1	P04275	Q7CG44
+1	P48382	Q7CGZ1
+1	Q7Z7A1	Q8D169
+1	Q7Z3K3	Q9X6B6
+1	Q9H1Z4	Q8ZHG7
+1	Q6ZV49	Q8ZHH3
+1	O60264	Q8D0R5
+1	Q8NEZ2	Q7CJ96
+1	Q9H7R5	Q7CGS9
+1	Q16534	Q8D0V8
+1	Q9Y2M5	Q7ARD3
+1	P78312	Q7CHC7
+1	Q8WUW1	P17778
+1	Q9NQC7	Q7CIH9
+1	P07858	Q8D1P4
+1	Q96F05	Q7CK92
+1	Q6ZRX4	P69974
+1	Q8N712	Q8ZIH1
+1	Q15513	Q8ZJF3
+1	P13693	Q7CKA9
+1	Q9NUL7	Q7CG61
+1	Q16534	Q8D1H5
+1	P49756	P17778
+1	Q9NP73	Q7CGS6
+1	Q15643	Q8CZP1
+1	Q10587	Q8CWG5
+1	Q7Z3K3	P28808
+1	O15169	Q7CG57
+1	Q4J6C6	Q7CG77
+1	Q8N287	Q8ZHI2
+1	P12955	Q7CK70
+1	Q96QK1	Q7CHP0
+1	Q9UL46	Q8D0P9
+1	P49023	Q8CLN8
+1	P42226	Q8Z9R8
+1	P19838	Q8ZII0
+1	Q92538	Q9ZC81
+1	Q93074	Q7CIZ3
+1	Q12772	Q8CLR4
+1	P24468	Q7CG16
+1	Q92802	Q7CHD9
+1	Q8WXI9	Q7ARH3
+1	Q8TD16	Q7CLB1
+1	O14686	Q7CHE1
+1	O00560	Q8CZM5
+1	Q16831	Q7CFP7
+1	P11940	Q7CJH7
+1	Q86VE0	Q7CGC7
+1	P15153	Q0WBF9
+1	P35222	Q7CIP7
+1	Q6UXT9	Q7CKA9
+1	P17844	Q8D1D2
+1	Q9BZC7	Q7CHX9
+1	P16671	Q7CIQ1
+1	Q16534	Q8CZL7
+1	Q9HCC8	Q7CL58
+1	Q9H9A5	Q7CFW0
+1	P35222	Q8CZR8
+1	Q16270	Q8ZI60
+1	Q00325	Q7CHJ5
+1	Q8NFP9	Q8CWG4
+1	P04632	Q8CWG5
+1	P61769	Q8ZFB2
+1	P07204	Q8ZCW0
