label	ID1	ID2
+1	B0I1T2	Q7CJI0
+1	Q8IZ63	Q8D014
+1	O75592	Q7CGI3
+1	Q9HCI7	Q7CKV2
+1	Q9BY50	Q8D0B6
+1	P61769	Q8D050
+1	P61769	Q7CKM5
+1	Q5VU43	Q7CG01
+1	P46379	Q9F286
+1	P63279	Q7CFN0
+1	Q9UNH6	Q7CIT3
+1	Q8WUM4	Q7ARD3
+1	Q9Y618	Q8ZH37
+1	P01877	Q7CGH3
+1	P29084	Q57159
+1	P30414	Q7CGH6
+1	P49792	Q0WCK7
+1	P04275	Q7CK63
+1	Q9UKZ1	Q8ZIX0
+1	P0C0L4	Q7CG16
+1	P25106	Q7CFW0
+1	Q9GZM7	Q7CG79
+1	O43464	P58644
+1	Q9UM01	Q7CIA2
+1	P23528	Q7CK47
+1	P01834	Q7CKD4
+1	Q96EC8	Q7CH71
+1	Q9UKA2	Q7CKG1
+1	Q8TDU6	Q7CJ45
+1	Q5VV17	Q7CK47
+1	Q13761	Q8CWG5
+1	P35414	Q0WDE1
+1	Q96GX9	Q7CHW1
+1	Q96JB2	Q8ZA88
+1	Q12929	Q7CJK4
+1	Q9UQC1	Q7CJ25
+1	Q9UQ35	Q7CFN3
+1	Q13123	Q7CJU3
+1	Q12882	Q8D1K0
+1	Q9UK73	Q7CKU7
+1	P14618	Q9ZC68
+1	P24844	Q7CID4
+1	Q8TDU6	Q7CG44
+1	P02461	Q8CKB2
+1	Q8IWT3	Q8D015
+1	Q9NYY3	Q7ARN5
+1	Q6P3W7	Q8ZJG9
+1	P42226	Q8ZHI8
+1	P14618	Q8ZBQ3
+1	O43914	Q8ZH37
+1	P42765	Q7CHZ4
+1	P01857	Q7CH24
+1	Q9P0Q9	Q7CHR2
+1	O00299	Q7CIP7
+1	Q9NV66	Q7CG39
+1	P00390	Q8CKD1
+1	Q4V328	Q7CG01
+1	Q96RT1	Q8CZZ5
+1	P01834	Q8CWG4
+1	P0C2Y1	P68587
+1	P98095	Q7CKD3
+1	Q9H2X8	Q7ARD1
+1	Q96RP9	Q8CLV2
+1	O76076	Q8CZY7
+1	P30048	Q8CLT3
+1	Q8NDV7	Q7CIW3
+1	Q9UBW7	Q7CL39
+1	P20073	Q8ZJJ5
+1	Q9HAP2	Q8CWI4
+1	Q96DI7	Q8CLD1
+1	P02788	Q8D0R7
+1	P00338	Q7CHV8
+1	Q8IVG5	Q8ZJ02
+1	Q08289	Q8CKN6
+1	Q92841	Q7CGN7
+1	Q8NDV7	Q7CGS8
+1	P13747	Q7CJT3
+1	Q32MH5	Q7CHZ4
+1	Q96JH7	Q7CFN3
+1	Q6YHU6	Q7CHK4
+1	P32456	Q8ZE38
+1	P17931	Q7ARG4
+1	P08758	P17778
+1	Q9UPQ9	Q7CFW4
+1	Q8IXJ9	Q7CGV8
+1	Q9Y5X1	Q8D0W1
+1	Q9Y2L8	Q7CI92
+1	O00165	Q8D014
+1	O43157	Q8D1N0
+1	Q95HL4	Q8D087
+1	Q9H4E7	Q8D0E1
+1	P50416	Q8ZIH1
+1	P24468	Q7CKV4
+1	Q9NYI0	Q8D0H6
+1	Q16630	Q7CFX1
+1	P11940	Q7CGS9
+1	Q8IXJ9	Q7CFW7
+1	Q8IY57	Q7ARD3
+1	Q9NZD2	Q8CL89
+1	P62306	Q7CIQ1
+1	O75132	Q7CJM9
+1	P13984	Q8ZFW5
+1	Q96FW1	Q9RI12
+1	Q8WWM7	Q8ZFX5
+1	P98170	Q8CZV1
+1	Q9UKT9	Q8CZX4
+1	Q9HAV7	Q7CFQ1
+1	P09601	Q7CKK6
+1	P04233	Q8D0C8
+1	Q92882	Q8CLT0
+1	P30048	Q7CHU1
+1	P48995	Q7CHR5
+1	O94979	Q7CFN1
+1	O94916	Q7CHU1
+1	P16144	Q7CFN1
+1	Q9Y6X8	Q7CKZ7
+1	Q92609	Q7CH40
+1	Q9P0K7	Q8CK76
+1	P08575	Q7CFQ3
+1	Q9Y520	Q8D1M2
+1	Q96KG9	Q9X6B0
+1	P26651	Q8Z9S7
